Keyword,Wikidata_QID,Wikidata_Label,Match_Score,Instances_QIDs,Instances_Labels,Subclasses_QIDs,Subclasses_Labels,Wikipedia_English_Link
Acanthosis Nigricans,Q415833,acanthosis nigricans,90.0,Q112193867,class of disease,Q12136; Q7193408,disease; pigmentation disorder,https://en.wikipedia.org/wiki/Acanthosis_nigricans
Acanthosis Nigricans,Q56429300,Acanthosis nigricans,95.0,,,,,
Accelerated Idioventricular Rhythm,Q3454015,accelerated idioventricular rhythm,91.17647058823529,,,Q5989048,idioventricular rhythm,https://en.wikipedia.org/wiki/Accelerated_idioventricular_rhythm
Accelerated Idioventricular Rhythm,Q91961055,Accelerated idioventricular rhythm,94.11764705882352,,,,,
Accelerated Idioventricular Rhythm,Q69455826,Accelerated idioventricular rhythm,94.11764705882352,,,,,
Accelerated Idioventricular Rhythm,Q59515704,Accelerated idioventricular rhythm,94.11764705882352,,,,,
Accessory Atrioventricular Bundle,Q66504931,accessory atrioventricular bundle,90.9090909090909,,,Q66502173,subdivision of conducting system of heart,
Accessory Atrioventricular Bundle,Q54959967,Accessory Atrioventricular Bundle,100.0,,,Q4672543,Accessory pathway,
Accessory Nerve,Q271987,accessory nerve,86.66666666666667,Q112826905; Q180454,class of anatomical entity; cranial nervi,Q112826975; Q180454; Q66557607,cranial nervi; neural tree organ; particular anatomical entity,https://en.wikipedia.org/wiki/Accessory_nerve
Accessory Nerve Diseases,Q4672538,accessory nerve disease,87.5,Q112193867,class of disease,Q18555926,glossopharyngeal nerve disease,https://en.wikipedia.org/wiki/Accessory_nerve_disorder
Accessory Nerve Injuries,Q54911746,accessory nerve injury,87.5,Q12136,disease,Q4672538; Q54976675,accessory nerve disease; cranial nerve injury,
Access to Healthy Foods,Q112206278,access to healthy foods,86.95652173913044,,,,,
Access to Primary Care,Q116693522,access to primary care,86.36363636363636,,,Q67075251,health services accessibility,
Access to Primary Care,Q66981485,Access to primary care,90.9090909090909,,,,,
Accidental Falls,Q333495,falling,87.5,,,Q171558,accident,https://en.wikipedia.org/wiki/Falling_(accident)
Accidental Falls,Q95379904,Accidental falls,93.75,,,,,
Accidental Injuries,Q114556619,accidental injuries,89.47368421052632,,,Q193078,injury in humans,
Accidental Injuries,Q79367744,Accidental injuries,94.73684210526316,,,,,
Accidental Injuries,Q71758982,Accidental injuries,94.73684210526316,,,,,
Accident Proneness,Q2413228,accident-proneness,83.33333333333334,,,Q1475848; Q3769299,human behavior; risk factor,https://en.wikipedia.org/wiki/Accident-proneness
Accident Proneness,Q71062785,Accident proneness,94.44444444444444,,,,,
Accident Proneness,Q73463754,Accident proneness,94.44444444444444,,,,,
Accident Proneness,Q82358859,Accident proneness,94.44444444444444,,,,,
Accident Proneness,Q80696061,Accident proneness,94.44444444444444,,,,,
Home Accidents,Q79882706,Home Accidents,100.0,,,,,
Ocular Accommodation,Q419793,accommodation,90.0,,,Q2996394,biological process,https://en.wikipedia.org/wiki/Accommodation_(vertebrate_eye)
Accountable Care Organizations,Q35258273,Accountable care organizations,93.33333333333333,,,,,
Accountable Care Organizations,Q56893279,Accountable care organizations,93.33333333333333,,,,,
Account Book,Q56175135,Account book,91.66666666666666,Q87167,manuscript,,,
Account Book,Q56175129,Account book,91.66666666666666,Q87167,manuscript,,,
Account Book,Q56175140,Account book,91.66666666666666,Q87167,manuscript,,,
Account Book,Q56178253,Account book,91.66666666666666,Q87167,manuscript,,,
Account Book,Q1575079,accounting register,83.33333333333334,,,Q21662746; Q24651263; Q43013; Q49848,document; management tool; notebook; official book,
Acellular Dermis,Q5322699,ECM Biomaterial,87.5,,,Q505531,dermis,https://en.wikipedia.org/wiki/Acellular_dermis
Acetabuloplasty,Q73498473,acetabuloplasty,93.33333333333333,Q15636229,surgical procedure,,,
Acetabuloplasty,Q1483646,Acetabuloplasty,100.0,,,,,https://en.wikipedia.org/wiki/Acetabuloplasty
Achaete-Scute Complex Genome Region,Q4673403,Achaete-scute complex,100.0,,,,,https://en.wikipedia.org/wiki/Achaete-scute_complex
Acid-Base Equilibrium,Q3275718,acid–base homeostasis,85.71428571428572,,,Q103191; Q189520,chemical equilibrium; homeostasis,https://en.wikipedia.org/wiki/Acid%E2%80%93base_homeostasis
Acid-Base Equilibrium,Q71503020,Acid-base equilibrium,90.47619047619048,,,,,
Lactic Acidosis,Q1500373,lactic acidosis,86.66666666666667,Q112193867,class of disease,Q12136; Q1598200; Q185089,acidosis; disease; metabolic acidosis,https://en.wikipedia.org/wiki/Lactic_acidosis
Renal Tubular Acidosis,Q1516211,renal tubular acidosis,86.36363636363636,Q112193867; Q929833,class of disease; rare disease,Q12136; Q6013986,disease; renal tubular transport disease,https://en.wikipedia.org/wiki/Renal_tubular_acidosis
Respiratory Acidosis,Q2145935,respiratory acidosis,90.0,,,Q185089,acidosis,https://en.wikipedia.org/wiki/Respiratory_acidosis
Respiratory Acidosis,Q71163701,Respiratory Acidosis,100.0,,,,,
Acinetobacter Infections,Q18975322,Acinetobacter infectious disease,100.0,Q112193867,class of disease,Q18553249; Q19597369,gram-negative bacterial infection; opportunistic bacterial infectious disease,
Acinetobacter Infections,Q91308704,Acinetobacter infections,95.83333333333334,,,,,
Acne Conglobata,Q767311,Acne conglobata,93.33333333333333,,,Q79928,acne,https://en.wikipedia.org/wiki/Acne_conglobata
Acne Conglobata,Q56340607,Acne Conglobata,100.0,,,,,
Acne Conglobata,Q95417610,Acne Conglobata,100.0,,,,,
Acne Conglobata,Q82067333,Acne conglobata,93.33333333333333,,,,,
Acne Conglobata,Q95810871,Acne conglobata,93.33333333333333,,,,,
Acneiform Eruptions,Q34390270,Acneiform eruptions,94.73684210526316,,,,,
Acneiform Eruptions,Q74214198,Acneiform eruptions,94.73684210526316,,,,,
Acneiform Eruptions,Q86215757,Acneiform eruptions,94.73684210526316,,,,,
Acneiform Eruptions,Q95417452,Acneiform Eruptions,100.0,,,,,
Acoustic Impedance Tests,Q3307114,impedance audiometry,100.0,Q5690807,health assessment,Q5691664,hearing test,
Acoustic Stimulation,Q73398187,acoustic stimulation,90.0,,,Q838202; Q859031,expressive therapy; stimulus,
Acquired Hyperostosis Syndrome,Q1515163,SAPHO syndrome,93.33333333333333,Q112193867,class of disease,Q12136; Q179630; Q55787013; Q55787618,autoinflammatory syndrome with skin involvement; disease; pyogenic autoinflammatory syndrome; syndrome,https://en.wikipedia.org/wiki/SAPHO_syndrome
Acquired Hyperostosis Syndrome,Q43578775,Acquired hyperostosis syndrome,93.33333333333333,,,,,
Acrocallosal Syndrome,Q4675304,acrocallosal syndrome,90.47619047619048,Q112193867; Q55788864; Q929833,class of disease; developmental defect during embryogenesis; rare disease,Q179630; Q55785288; Q55785866; Q55786837; Q55787048,"genetic syndrome with corpus callosum agenesis/dysgenesis as a major feature; genetic syndromic intellectual disability; multiple congenital anomalies/dysmorphic syndrome-intellectual disability; syndrome; syndrome with limb duplication, polydactyly, syndactyly, and/or hyperphalangy",https://en.wikipedia.org/wiki/Acrocallosal_syndrome
Acrocallosal Syndrome,Q26266199,ACLS,90.47619047619048,Q7187,gene,,,
Acrocallosal Syndrome,Q68721293,Acrocallosal syndrome,95.23809523809523,,,,,
Acrocallosal Syndrome,Q39750475,Acrocallosal syndrome,95.23809523809523,,,,,
Acromioclavicular Joint,Q1640207,acromioclavicular joint,91.30434782608697,Q112826905; Q9644,class of anatomical entity; joint,Q66525164,synovial joint of pectoral girdle,https://en.wikipedia.org/wiki/Acromioclavicular_joint
Acromioclavicular Joint,Q72342073,Acromioclavicular joint,95.65217391304348,,,,,
Acromioclavicular Joint,Q58421508,Acromioclavicular Joint,100.0,,,,,
Acro-Osteolysis,Q4676384,acroosteolysis,86.66666666666667,,,Q18553737,bone development disease,https://en.wikipedia.org/wiki/Acroosteolysis
Acro-Osteolysis,Q84278343,Acro-osteolysis,93.33333333333333,,,,,
Acro-Osteolysis,Q38994688,Acro-osteolysis,93.33333333333333,,,,,
Acrosome Reaction,Q163261,acrosome reaction,88.23529411764706,Q2996394,biological process,Q14885910,reproductive process,https://en.wikipedia.org/wiki/Acrosome_reaction
ACTH-Secreting Pituitary Adenoma,Q18557438,ACTH-secreting pituitary adenoma,90.625,Q112193867; Q55789477,class of disease; head and neck disease,Q18556775,functioning pituitary adenoma,
Ectopic ACTH Syndrome,Q32136799,ectopic Cushing syndrome,90.47619047619048,Q112193867,class of disease,Q1640860; Q55789431,ACTH-dependent Cushing syndrome; hyperaldosteronism,
Ectopic ACTH Syndrome,Q46798178,Ectopic ACTH syndrome,95.23809523809523,,,,,
Ectopic ACTH Syndrome,Q68327399,Ectopic ACTH syndrome,95.23809523809523,,,,,
Ectopic ACTH Syndrome,Q70813350,Ectopic ACTH syndrome,95.23809523809523,,,,,
Ectopic ACTH Syndrome,Q69854591,Ectopic ACTH syndrome,95.23809523809523,,,,,
Actin Cytoskeleton,Q14860845,actin cytoskeleton,88.88888888888889,Q5058355,cellular component,Q154626,cytoskeleton,
Actin Cytoskeleton,Q66591126,actin cytoskeleton,88.88888888888889,,,Q154626,cytoskeleton,
Cervicofacial Actinomycosis,Q18967280,cervicofacial actinomycosis,92.5925925925926,,,Q422268,actinomycosis,
Action Potentials,Q194277,action potential,88.23529411764706,Q2996394,biological process,Q1048073; Q14865156,bioelectric potential difference; regulation of membrane potential,https://en.wikipedia.org/wiki/Action_potential
Activated Protein C Resistance,Q296104,activated protein C resistance,83.33333333333334,Q112193867; Q929833,class of disease; rare disease,Q1570013; Q18553439,autosomal dominant disease; thrombophilia,https://en.wikipedia.org/wiki/Activated_protein_C_resistance
Activated Protein C Resistance,Q111952349,Activated protein C resistance test,86.15384615384616,,,,,https://en.wikipedia.org/wiki/Activated_protein_C_resistance_test
Metabolic Activation,Q70710313,metabolic activation,90.0,,,Q864895,biotransformation,
Activator Appliances,Q28454216,activator appliance,90.0,,,Q72138465; Q73222804,functional orthodontic appliances; removable orthodontic appliance,https://en.wikipedia.org/wiki/Activator_appliance
Activity Cycles,Q71129343,activity cycle,86.66666666666667,,,Q377893,ultradian rhythm,
Actuarial Analysis,Q1128453,actuarial science,88.88888888888889,Q1936384,area of mathematics,,,https://en.wikipedia.org/wiki/Actuarial_science
Acupuncture Analgesia,Q73502333,acupuncture analgesia,90.47619047619048,,,Q484785,analgesia,
Acupuncture Analgesia,Q70083709,Acupuncture analgesia,95.23809523809523,,,,,
Ear Acupuncture,Q67391388,ear acupuncture,86.66666666666667,,,Q2157619; Q67374260,acupuncture therapy; auriculotherapy,
Acupuncture Points,Q3197706,acupuncture point,88.88888888888889,,,Q44946; Q66539899,anatomical location; point,https://en.wikipedia.org/wiki/Acupuncture_point
Acupuncture Therapy,Q67374260,acupuncture therapy,89.47368421052632,,,Q64831118,complementary therapy,
Acupuncture Therapy,Q67839313,Acupuncture therapy,94.73684210526316,,,,,
Acute Care Surgery,Q124285243,acute care surgery,83.33333333333334,Q69953032,surgical specialty,Q4677918,acute care,
Acute Care Surgery,Q61853975,Acute care surgery,88.88888888888889,,,,,
Acute Care Surgery,Q39309405,Acute Care Surgery,100.0,,,,,
Acute Disease,Q557429,acute disease,84.61538461538461,Q54932064,disease attributes,Q12136,disease,https://en.wikipedia.org/wiki/Acute_(medicine)
Acute Febrile Encephalopathy,Q55236888,acute febrile encephalopathy,89.28571428571429,,,Q576349,encephalopathy,
Acute Generalized Exanthematous Pustulosis,Q1980528,acute generalized exanthematous pustulosis,90.47619047619048,Q112193867; Q2057971,class of disease; health problem,Q55632923; Q55787028; Q7262033,pustulosis; severe cutaneous adverse reactions; toxic dermatosis,https://en.wikipedia.org/wiki/Acute_generalized_exanthematous_pustulosis
Acute Generalized Exanthematous Pustulosis,Q73153690,Acute generalized exanthematous pustulosis,92.85714285714286,,,,,
Acute Generalized Exanthematous Pustulosis,Q34982233,Acute generalized exanthematous pustulosis,92.85714285714286,,,,,
Acute Generalized Exanthematous Pustulosis,Q84187270,Acute Generalized Exanthematous Pustulosis,100.0,,,,,
Acute Kidney Injury,Q424337,acute kidney injury,84.21052631578947,Q112193867; Q112965645; Q1931388,cause of death; class of disease; symptom or sign,Q12136; Q476921,disease; kidney failure,https://en.wikipedia.org/wiki/Acute_kidney_injury
Acute Kidney Injury,Q82764894,Acute kidney injury,89.47368421052632,,,,,
Acute Kidney Injury,Q61361815,Acute kidney injury,89.47368421052632,,,,,
Acute Kidney Injury,Q114412277,Acute Kidney Injury Network,82.6086956521739,Q16334295,group of humans,,,
Acute-On-Chronic Liver Failure,Q65549985,acute-on-chronic liver failure,83.33333333333334,,,Q1192530,acute liver failure,
Acute-On-Chronic Liver Failure,Q50956831,Acute-on-chronic liver failure,86.66666666666667,,,,,
Acute-On-Chronic Liver Failure,Q26859067,Acute-on-chronic liver failure,86.66666666666667,,,,,
Acute-On-Chronic Liver Failure,Q71372936,Acute-on-chronic liver failure,86.66666666666667,,,,,
Acute-On-Chronic Liver Failure,Q55097285,Acute-on-Chronic Liver Failure,96.66666666666667,,,,,
Acute Pain,Q16534541,acute pain,80.0,Q112965645,symptom or sign,Q81938,pain,
Acute Pain,Q15746113,Acute Pain,100.0,Q5633421,scientific journal,,,
Acute Pain,Q65026010,Acute Pain,100.0,Q11060274,print,,,
Acute Pain,Q33665509,Acute pain,90.0,,,,,
Acute-Phase Reaction,Q68637337,acute phase reaction,80.0,,,Q101991,inflammation,
Acute Retroviral Syndrome,Q54927124,acute retroviral syndrome,88.0,,,Q18556697,HIV infection,
Acute Retroviral Syndrome,Q36607980,Acute retroviral syndrome,92.0,,,,,
Acute Retroviral Syndrome,Q40754393,Acute retroviral syndrome,92.0,,,,,
Adams-Stokes Syndrome,Q73155904,Adams-Stokes syndrome,95.23809523809523,,,,,
Adams-Stokes Syndrome,Q67071463,Adams-Stokes syndrome,95.23809523809523,,,,,
Adams-Stokes Syndrome,Q44702864,Adams-Stokes syndrome,95.23809523809523,,,,,
Biological Adaptation,Q67504163,biological adaptation,90.47619047619048,,,Q121063989; Q64732777,adaptation; biological phenomenon,
Ocular Adaptation,Q352374,ocular adaptation,88.23529411764706,Q1207505,quality,Q121063989; Q67080983,adaptation; physiological adaptation,https://en.wikipedia.org/wiki/Adaptation_(eye)
Physiological Adaptation,Q295130,phenotypic plasticity,91.66666666666666,Q105096490; Q66615932,color in nature; physiological phenomenon,Q5533121; Q64732777,biological phenomenon; gene-environment interaction,https://en.wikipedia.org/wiki/Phenotypic_plasticity
Physiological Adaptation,Q67080983,physiological adaptation,91.66666666666666,,,Q121063989; Q30892994,adaptation; physiological process,
Physiological Adaptation,Q26880303,Physiological Adaptations,97.95918367346938,Q7725634,literary work,,,
Psychological Adaptation,Q7256373,psychological adaptation,91.66666666666666,,,Q9332,behavior,https://en.wikipedia.org/wiki/Psychological_adaptation
Adaptive Algorithms,Q59602490,Adaptive Algorithms,100.0,,,,,
Adaptive Clinical Trial,Q16242548,adaptive clinical trial,86.95652173913044,,,Q30612,clinical trial,https://en.wikipedia.org/wiki/Adaptive_clinical_trial
Adaptive Clinical Trial,Q131359607,adaptive clinical trial,86.95652173913044,,,Q130658837,clinical trial,
Adaptive Clinical Trial,Q38178303,Adaptive Clinical Trial Design,86.79245283018868,,,,,
Adaptive Immunity,Q1645075,adaptive immune system,88.23529411764706,,,Q1059; Q380775,antibiotic resistance; immune system,https://en.wikipedia.org/wiki/Adaptive_immune_system
Adaptive Immunity,Q37671320,Adaptive immunity,94.11764705882352,,,,,
Bronchiolo-Alveolar Adenocarcinoma,Q18556553,bronchiolo-alveolar adenocarcinoma,91.17647058823529,Q112193867,class of disease,Q843799,adenocarcinoma of the lung,
Bronchiolo-Alveolar Adenocarcinoma,Q19000535,AD-BAC,91.17647058823529,,,Q570875,in situ pulmonary adenocarcinoma,
Clear Cell Adenocarcinoma,Q5130800,clear cell adenocarcinoma,88.0,Q112193867,class of disease,Q18556242; Q356033,adenocarcinoma; clear cell carcinoma,https://en.wikipedia.org/wiki/Clear-cell_adenocarcinoma
Clear Cell Adenocarcinoma,Q18556340,renal clear cell carcinoma,86.20689655172413,Q112193867,class of disease,Q1164529; Q18556242,clear cell carcinoma; renal cell carcinoma,https://en.wikipedia.org/wiki/Clear-cell_renal-cell_carcinoma
Mucinous Adenocarcinoma,Q18555274,mucinous adenocarcinoma,91.30434782608697,Q112193867,class of disease,Q356033,adenocarcinoma,
Mucinous Adenocarcinoma,Q18555273,colon mucinous adenocarcinoma,80.76923076923077,Q112193867; Q18556754,class of disease; colonic disease,Q18555055; Q18555274,colon adenocarcinoma; mucinous adenocarcinoma,
Mucinous Adenocarcinoma,Q18556046,mucinous stomach adenocarcinoma,80.70175438596492,Q112193867,class of disease,Q18555274; Q18557179,gastric diffuse adenocarcinoma; mucinous adenocarcinoma,
Adenocarcinoma of Lung,Q843799,adenocarcinoma of the lung,90.9090909090909,Q112193867,class of disease,Q356033; Q47912,adenocarcinoma; lung cancer,https://en.wikipedia.org/wiki/Adenocarcinoma_of_the_lung
Adenocarcinoma of Lung,Q82148604,Adenocarcinoma of lung,95.45454545454545,,,,,
Papillary Adenocarcinoma,Q7132981,papillary adenocarcinoma,91.66666666666666,Q112193867,class of disease,Q356033,adenocarcinoma,https://en.wikipedia.org/wiki/Papillary_adenocarcinoma
Papillary Adenocarcinoma,Q18556882,lung papillary adenocarcinoma,83.01886792452831,Q112193867,class of disease,Q843799,adenocarcinoma of the lung,
Scirrhous Adenocarcinoma,Q18556157,scirrhous adenocarcinoma,91.66666666666666,Q112193867,class of disease,Q356033,adenocarcinoma,
